[registry] ✓ pi_release — PI Release 实验
[registry] ✓ recall_rating — n-back × 类别切换 + Rating
模块: n-back × 类别切换 + Rating (recall_rating)
模型: deepseek-chat
条件数: 36

[recall_rating] run 20260710_130749: 36条件 × 50trials × 1repeats, seed=42
  [1/1800] VA: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.727
  [2/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.727
  [3/1800] VA: d_prime=-1.625 hit_rate=0.000 false_alarm=0.071 acc_first_half=0.545 acc_second_half=0.636
  [4/1800] VA: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.818
  [5/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.636 acc_second_half=0.727
  [6/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.545
  [7/1800] VA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.636
  [8/1800] VA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.545
  [9/1800] VA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [10/1800] VA: d_prime=-2.023 hit_rate=0.000 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0.545
  [11/1800] VA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [12/1800] VA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.455
  [13/1800] VA: d_prime=1.068 hit_rate=0.500 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0.636
  [14/1800] VA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.818
  [15/1800] VA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [16/1800] VA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.727
  [17/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.455
  [18/1800] VA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.818
  [19/1800] VA: d_prime=0.000 hit_rate=0.000 false_alarm=0.000 acc_first_half=0.636 acc_second_half=0.636
  [20/1800] VA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.727
  [21/1800] VA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.636
  [22/1800] VA: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.727
  [23/1800] VA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [24/1800] VA: d_prime=-1.625 hit_rate=0.000 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.545
  [25/1800] VA: d_prime=0.749 hit_rate=0.375 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0.545
  [26/1800] VA: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [27/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.636
